Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
If I Lose Myself - Alesso vs OneRepublic,Alesso,64,0.523,0.782,125.998,0.041,214813,"['Dance Pop', 'EDM', 'Pop', 'Pop Dance']",72,4AVFqumd2ogHFlRbKIjp1t,1hZk9dktp4yRFTm0TrycuH,https://i.scdn.co/image/ab6761610000f17885bb0aa225cf7e0dbc9fcefe
When I’m Gone (with Katy Perry),Alesso,76,0.685,0.886,125.034,0.034,161266,"['Dance Pop', 'EDM', 'Pop', 'Pop Dance']",72,4AVFqumd2ogHFlRbKIjp1t,5902W4uHWzhtOff1UK7the,https://i.scdn.co/image/ab6761610000f17885bb0aa225cf7e0dbc9fcefe
Something Real,Alison Wonderland,50,0.519,0.61,119.919,0.0608,229213,"['Aussietronica', 'EDM', 'Electra', 'Electronic Trap', 'Escape Room', 'Indietronica']",52,11gWrKZMBsGQWmobv3oNfW,1Z0N9hxlzZRPAKI5Q33jsq,https://i.scdn.co/image/ab6761610000f1786af4313c7cb5d8854f0a8f67
Fight or Flight,Alison Wonderland,51,0.577,0.955,156.026,0.0664,151538,"['Aussietronica', 'EDM', 'Electra', 'Electronic Trap', 'Escape Room', 'Indietronica']",52,11gWrKZMBsGQWmobv3oNfW,0biZ6lxXHy4eHweTbOD33W,https://i.scdn.co/image/ab6761610000f1786af4313c7cb5d8854f0a8f67
Fuck U Love U,Alison Wonderland,45,0.298,0.803,76.872,0.0462,190920,"['Aussietronica', 'EDM', 'Electra', 'Electronic Trap', 'Escape Room', 'Indietronica']",52,11gWrKZMBsGQWmobv3oNfW,2h1uvDHYv9Cll7DWOPtYa4,https://i.scdn.co/image/ab6761610000f1786af4313c7cb5d8854f0a8f67
Church,Alison Wonderland,49,0.551,0.681,94.052,0.0401,183912,"['Aussietronica', 'EDM', 'Electra', 'Electronic Trap', 'Escape Room', 'Indietronica']",52,11gWrKZMBsGQWmobv3oNfW,6Apozxrk03AIyQwyswUjbt,https://i.scdn.co/image/ab6761610000f1786af4313c7cb5d8854f0a8f67
Picture,Alison Wonderland,51,0.36,0.574,132.097,0.0434,207272,"['Aussietronica', 'EDM', 'Electra', 'Electronic Trap', 'Escape Room', 'Indietronica']",52,11gWrKZMBsGQWmobv3oNfW,1sAyfWbmgrT7HganHgLSYQ,https://i.scdn.co/image/ab6761610000f1786af4313c7cb5d8854f0a8f67
Down The Line,Alison Wonderland,43,0.663,0.652,149.994,0.0598,208440,"['Aussietronica', 'EDM', 'Electra', 'Electronic Trap', 'Escape Room', 'Indietronica']",52,11gWrKZMBsGQWmobv3oNfW,0uJ9ERKbkX6IcTLTgbIZYC,https://i.scdn.co/image/ab6761610000f1786af4313c7cb5d8854f0a8f67
Astronaut In The Ocean - Alok Remix,Alok,73,0.53,0.82,171.933,0.0438,128371,"['Electro House', 'Pop Nacional', 'Slap House']",78,0NGAZxHanS9e0iNHpR8f2W,1yX6sh2TkrT5hsXodo7aS6,https://i.scdn.co/image/ab6761610000f178f7d1bdca65e1cefd4e60c379
Work With My Love,Alok,75,0.618,0.848,123.967,0.0574,150483,"['Electro House', 'Pop Nacional', 'Slap House']",78,0NGAZxHanS9e0iNHpR8f2W,6PX5CRJFn24G3cypjNO6yw,https://i.scdn.co/image/ab6761610000f178f7d1bdca65e1cefd4e60c379
Headlights (feat. KIDDO),Alok,72,0.626,0.754,100.015,0.0269,158400,"['Electro House', 'Pop Nacional', 'Slap House']",78,0NGAZxHanS9e0iNHpR8f2W,7BhmwvCdQZNwuQXSHw5TzP,https://i.scdn.co/image/ab6761610000f178f7d1bdca65e1cefd4e60c379
Deep Down (feat. Never Dull),Alok,82,0.687,0.818,125.952,0.0778,165752,"['Electro House', 'Pop Nacional', 'Slap House']",78,0NGAZxHanS9e0iNHpR8f2W,7MIhUdNJtaOnDmC5nBC1fb,https://i.scdn.co/image/ab6761610000f178f7d1bdca65e1cefd4e60c379
LET'S GET FKD UP,Alok,81,0.67,0.957,159.985,0.0435,121500,"['Electro House', 'Pop Nacional', 'Slap House']",78,0NGAZxHanS9e0iNHpR8f2W,0iB5f04XdJ2tcfhoVkeLV8,https://i.scdn.co/image/ab6761610000f178f7d1bdca65e1cefd4e60c379
Jungle,Alok,82,0.596,0.667,140.002,0.0295,175500,"['Electro House', 'Pop Nacional', 'Slap House']",78,0NGAZxHanS9e0iNHpR8f2W,0OvO2X2Q3i98dc5RcgEN3x,https://i.scdn.co/image/ab6761610000f178f7d1bdca65e1cefd4e60c379
Hear Me Now,Alok,78,0.778,0.463,121.999,0.0389,194840,"['Electro House', 'Pop Nacional', 'Slap House']",78,0NGAZxHanS9e0iNHpR8f2W,39cmB3ZoTOLwOTq7tMNqKa,https://i.scdn.co/image/ab6761610000f178f7d1bdca65e1cefd4e60c379
Piece Of Your Heart - Alok Remix,Alok,76,0.797,0.86,124.033,0.0413,166451,"['Electro House', 'Pop Nacional', 'Slap House']",78,0NGAZxHanS9e0iNHpR8f2W,6iW38RGqdDGOofmz2HeXLW,https://i.scdn.co/image/ab6761610000f178f7d1bdca65e1cefd4e60c379
All By Myself,Alok,76,0.662,0.848,123.041,0.0346,171747,"['Electro House', 'Pop Nacional', 'Slap House']",78,0NGAZxHanS9e0iNHpR8f2W,5Hp4xFihdOE2dmDzxWcBFb,https://i.scdn.co/image/ab6761610000f178f7d1bdca65e1cefd4e60c379
God Is In The Soundwaves,Armin van Buuren,67,0.677,0.912,144.006,0.0413,163510,"['Dutch Trance', 'EDM', 'Pop Dance', 'Progressive House', 'Trance']",74,0SfsnGyD8FpIN4U4WCkBZ5,51w0BMC24JALh8uzwRzjMB,https://i.scdn.co/image/ab6761610000f1785328c468cef8019bc41b63a8
On & On,Armin van Buuren,71,0.681,0.933,128.036,0.104,170578,"['Dutch Trance', 'EDM', 'Pop Dance', 'Progressive House', 'Trance']",74,0SfsnGyD8FpIN4U4WCkBZ5,6wLqNGHQIja6xqT0cfrzBB,https://i.scdn.co/image/ab6761610000f1785328c468cef8019bc41b63a8
No Fun,Armin van Buuren,68,0.731,0.904,121.03,0.0349,130412,"['Dutch Trance', 'EDM', 'Pop Dance', 'Progressive House', 'Trance']",74,0SfsnGyD8FpIN4U4WCkBZ5,1q3qh7hEJrPmPH7uOteYSr,https://i.scdn.co/image/ab6761610000f1785328c468cef8019bc41b63a8
Great Spirit,Armin van Buuren,67,0.592,0.911,103.517,0.0659,215773,"['Dutch Trance', 'EDM', 'Pop Dance', 'Progressive House', 'Trance']",74,0SfsnGyD8FpIN4U4WCkBZ5,3Nku6gLNqnwUuq8GLkqyhW,https://i.scdn.co/image/ab6761610000f1785328c468cef8019bc41b63a8
In And Out Of Love,Armin van Buuren,58,0.526,0.705,134.947,0.0301,181680,"['Dutch Trance', 'EDM', 'Pop Dance', 'Progressive House', 'Trance']",74,0SfsnGyD8FpIN4U4WCkBZ5,1FzbOPWCZiNxnLjAhY1jAR,https://i.scdn.co/image/ab6761610000f1785328c468cef8019bc41b63a8
Blah Blah Blah,Armin van Buuren,69,0.612,0.963,138.009,0.0531,183518,"['Dutch Trance', 'EDM', 'Pop Dance', 'Progressive House', 'Trance']",74,0SfsnGyD8FpIN4U4WCkBZ5,1moFkZDqcjQNeXtyoanLHv,https://i.scdn.co/image/ab6761610000f1785328c468cef8019bc41b63a8
This Is What It Feels Like,Armin van Buuren,73,0.551,0.833,129.885,0.03,204360,"['Dutch Trance', 'EDM', 'Pop Dance', 'Progressive House', 'Trance']",74,0SfsnGyD8FpIN4U4WCkBZ5,5GjnIpUlLGEIYk052ISOw9,https://i.scdn.co/image/ab6761610000f1785328c468cef8019bc41b63a8
Easy To Love,Armin van Buuren,64,0.742,0.782,120.027,0.0328,151820,"['Dutch Trance', 'EDM', 'Pop Dance', 'Progressive House', 'Trance']",74,0SfsnGyD8FpIN4U4WCkBZ5,0BLxPjFEOG8G1q8AKLuz3V,https://i.scdn.co/image/ab6761610000f1785328c468cef8019bc41b63a8
Sorry (with Madonna),BLOND:ISH,69,0.65,0.783,124.008,0.0342,161627,"['Deep Disco House', 'Melodic House']",56,6zsJjoCtL1WByG0VsuFWzR,5dW0cgZ9uV1W3PXtuTS5uP,https://i.scdn.co/image/ab6761610000f178bb53920d2de21c6a9daf9dd8
Tra Tra,BLOND:ISH,57,0.797,0.942,124.014,0.0656,126774,"['Deep Disco House', 'Melodic House']",56,6zsJjoCtL1WByG0VsuFWzR,0UFJLWij7K8AXM5sVDFCLj,https://i.scdn.co/image/ab6761610000f178bb53920d2de21c6a9daf9dd8
Es un secreto (feat. Pensión & Juanmih),BLOND:ISH,56,0.803,0.765,123.983,0.0631,112741,"['Deep Disco House', 'Melodic House']",56,6zsJjoCtL1WByG0VsuFWzR,5TRubkfle0s3bQAPtBPQIf,https://i.scdn.co/image/ab6761610000f178bb53920d2de21c6a9daf9dd8
Call My Name,BLOND:ISH,56,0.557,0.938,124.109,0.0897,198508,"['Deep Disco House', 'Melodic House']",56,6zsJjoCtL1WByG0VsuFWzR,0vQ2LIvx5U6QN7BnUHWwsJ,https://i.scdn.co/image/ab6761610000f178bb53920d2de21c6a9daf9dd8
Sete,BLOND:ISH,66,0.736,0.827,125.008,0.0643,209760,"['Deep Disco House', 'Melodic House']",56,6zsJjoCtL1WByG0VsuFWzR,4u3XiAwJ2U9Kxgy57gcAPB,https://i.scdn.co/image/ab6761610000f178bb53920d2de21c6a9daf9dd8
Waves (feat. Grace Tither),BLOND:ISH,51,0.631,0.763,121.008,0.0352,202501,"['Deep Disco House', 'Melodic House']",56,6zsJjoCtL1WByG0VsuFWzR,6ymVxYG0UHqIjXmclbE1cu,https://i.scdn.co/image/ab6761610000f178bb53920d2de21c6a9daf9dd8
Monsieur Reefer - Ben Sterling 3am Remix Edit,Ben Sterling,26,0.807,0.684,126.997,0.0513,194645,"['Tech House', 'UK Tech House']",30,79uJoLQkQ621xZy7MyH4uL,6QnvPAeRyzXiFIW8qnFab6,https://i.scdn.co/image/ab6761610000f17887f08826a452eb9e39989543
Tweezy,Ben Sterling,29,0.809,0.68,128.008,0.0662,213938,"['Tech House', 'UK Tech House']",30,79uJoLQkQ621xZy7MyH4uL,68zDIhLUGbvcMoof7MUuRU,https://i.scdn.co/image/ab6761610000f17887f08826a452eb9e39989543
Keep It Cute - Ben Sterling Remix,Ben Sterling,25,0.848,0.72,129.989,0.0415,229030,"['Tech House', 'UK Tech House']",30,79uJoLQkQ621xZy7MyH4uL,0essbASZyf1Q3wwRobTaCE,https://i.scdn.co/image/ab6761610000f17887f08826a452eb9e39989543
Rok The House,Ben Sterling,29,0.799,0.804,127.993,0.0447,255000,"['Tech House', 'UK Tech House']",30,79uJoLQkQ621xZy7MyH4uL,1A6KKdSY4hpCBqJOmeQEWQ,https://i.scdn.co/image/ab6761610000f17887f08826a452eb9e39989543
Audio - CID Remix,CID,46,0.524,0.913,123.936,0.05,161973,"['Bass House', 'Deep Groove House', 'Dutch House', 'EDM', 'Electro House', 'House', 'Pop Dance', 'Pop EDM', 'Progressive Electro House', 'Progressive House', 'Tech House', 'UK Dance']",51,4FCzCS0KEgb0rgySWINItO,3ajiUFrVUHsmU5F2pv3kzd,https://i.scdn.co/image/ab6761610000f178d89d6344ed634e67e4ac036e
Sweet Memories,CID,50,0.624,0.923,124.994,0.0335,157451,"['Bass House', 'Deep Groove House', 'Dutch House', 'EDM', 'Electro House', 'House', 'Pop Dance', 'Pop EDM', 'Progressive Electro House', 'Progressive House', 'Tech House', 'UK Dance']",51,4FCzCS0KEgb0rgySWINItO,6F3rgQfSns1slUnMfHXjOA,https://i.scdn.co/image/ab6761610000f178d89d6344ed634e67e4ac036e
Jumpin',CID,48,0.924,0.69,125.959,0.0662,155000,"['Bass House', 'Deep Groove House', 'Dutch House', 'EDM', 'Electro House', 'House', 'Pop Dance', 'Pop EDM', 'Progressive Electro House', 'Progressive House', 'Tech House', 'UK Dance']",51,4FCzCS0KEgb0rgySWINItO,01VjC3TYrAmpiJlxVowW24,https://i.scdn.co/image/ab6761610000f178d89d6344ed634e67e4ac036e
Deep In Your Heart,CID,44,0.65,0.921,125.988,0.0399,154293,"['Bass House', 'Deep Groove House', 'Dutch House', 'EDM', 'Electro House', 'House', 'Pop Dance', 'Pop EDM', 'Progressive Electro House', 'Progressive House', 'Tech House', 'UK Dance']",51,4FCzCS0KEgb0rgySWINItO,4aWzNzb2VXhqQw491l9yB1,https://i.scdn.co/image/ab6761610000f178d89d6344ed634e67e4ac036e
Let Me Take You,CID,61,0.874,0.908,125.981,0.0593,154761,"['Bass House', 'Deep Groove House', 'Dutch House', 'EDM', 'Electro House', 'House', 'Pop Dance', 'Pop EDM', 'Progressive Electro House', 'Progressive House', 'Tech House', 'UK Dance']",51,4FCzCS0KEgb0rgySWINItO,0q6ty9Ga2ebtTKa2C74jrC,https://i.scdn.co/image/ab6761610000f178d89d6344ed634e67e4ac036e
