Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Artist Genres,Artist Popularity,Artist uri,Song uri
Blah Blah Blah,Armin van Buuren,68,0.612,0.963,138.009,0.0531,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,1moFkZDqcjQNeXtyoanLHv
This Is What It Feels Like,Armin van Buuren,73,0.551,0.833,129.885,0.03,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,5GjnIpUlLGEIYk052ISOw9
No Fun,Armin van Buuren,67,0.731,0.904,121.03,0.0349,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,1q3qh7hEJrPmPH7uOteYSr
Lose This Feeling,Armin van Buuren,68,0.464,0.867,75.026,0.0624,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,1lzIk2EDN5d1gIbxfmu2oF
Great Spirit,Armin van Buuren,68,0.592,0.911,103.517,0.0659,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,3Nku6gLNqnwUuq8GLkqyhW
God Is In The Soundwaves,Armin van Buuren,66,0.677,0.912,144.006,0.0413,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,51w0BMC24JALh8uzwRzjMB
Love Is A Drug,Armin van Buuren,66,0.627,0.964,127.975,0.0569,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,4Yyho5h1ABXsvFyuEvyoke
Zombie (feat. Valerie Broussard),Excision,68,0.302,0.817,157.084,0.0863,"['brostep', 'canadian electronic', 'filthstep']",58,5FKchcZpQOkqFvXBj1aCvb,5AZJbQwaYGHWCY53k7fO57
Feel Something (With I Prevail),Excision,64,0.428,0.877,75.518,0.0835,"['brostep', 'canadian electronic', 'filthstep']",58,5FKchcZpQOkqFvXBj1aCvb,5dAtKXyrQoQW054LZqJ5dP
Asteroid,Excision,58,0.576,0.981,149.723,0.606,"['brostep', 'canadian electronic', 'filthstep']",58,5FKchcZpQOkqFvXBj1aCvb,3twU0ngWzakD9k07Kb5eoV
Gold (Stupid Love),Excision,52,0.363,0.735,145.556,0.0428,"['brostep', 'canadian electronic', 'filthstep']",58,5FKchcZpQOkqFvXBj1aCvb,1dlJQt9NLH5iFCIeiVz5lX
Name Drop,Excision,57,0.319,0.983,75.373,0.38,"['brostep', 'canadian electronic', 'filthstep']",58,5FKchcZpQOkqFvXBj1aCvb,02yaX0Reb1fQYIQdri4Ow8
Don't Look Down (Hold On),Excision,57,0.507,0.785,90.241,0.0562,"['brostep', 'canadian electronic', 'filthstep']",58,5FKchcZpQOkqFvXBj1aCvb,65krG6c3veTz66mIdSU16f
Titans,Excision,55,0.665,0.951,128.188,0.222,"['brostep', 'canadian electronic', 'filthstep']",58,5FKchcZpQOkqFvXBj1aCvb,0StQdn3iO5vdHFH8ZR6Cuo
Reasons,Excision,54,0.454,0.903,150.032,0.102,"['brostep', 'canadian electronic', 'filthstep']",58,5FKchcZpQOkqFvXBj1aCvb,5cqOmjN3auHvZlhbebzKQx
Atmosphere,FISHER,78,0.762,0.895,125.979,0.0737,"['australian house', 'house']",68,1VJ0briNOlXRtJUAzoUJdt,1aNUSKBe6UMyMk3pEu9ws7
"World, Hold On - FISHER Rework",FISHER,64,0.781,0.889,127.01,0.0573,"['australian house', 'house']",68,1VJ0briNOlXRtJUAzoUJdt,6quGF3Kvzd5WYEEuCmvCe1
Losing It,FISHER,75,0.76,0.964,125.003,0.0577,"['australian house', 'house']",68,1VJ0briNOlXRtJUAzoUJdt,6ho0GyrWZN3mhi9zVRW7xi
TAKE IT OFF,FISHER,74,0.884,0.707,127.013,0.202,"['australian house', 'house']",68,1VJ0briNOlXRtJUAzoUJdt,7zp9FOU4cjFdGN1zdWTvcB
Stop It,FISHER,67,0.859,0.824,124.015,0.0512,"['australian house', 'house']",68,1VJ0briNOlXRtJUAzoUJdt,627JZ3dVd88Xc5IoHOeNT5
Yeah The Girls,FISHER,65,0.755,0.968,126.007,0.0424,"['australian house', 'house']",68,1VJ0briNOlXRtJUAzoUJdt,2ST4u9GusI2ddDfuMvXA5l
You Little Beauty,FISHER,68,0.926,0.951,123.987,0.0924,"['australian house', 'house']",68,1VJ0briNOlXRtJUAzoUJdt,1gRQxbfL4ULWyTosgXSbWT
It's A Killa,FISHER,62,0.78,0.914,125.986,0.0435,"['australian house', 'house']",68,1VJ0briNOlXRtJUAzoUJdt,2cAYjs1WvosMFadzTDmmzD
Voodoo,Gorgon City,62,0.663,0.883,129.057,0.0593,"['future garage', 'house', 'pop dance', 'uk dance']",60,4VNQWV2y1E97Eqo2D5UTjx,3hQSct6Ay5azm9dfFxHixY
You've Done Enough,Gorgon City,63,0.676,0.782,125.057,0.0344,"['future garage', 'house', 'pop dance', 'uk dance']",60,4VNQWV2y1E97Eqo2D5UTjx,77VqW84V88aKD8Bi8CzEsP
Remember (feat. Stevie Appleton),Gorgon City,64,0.655,0.89,127.979,0.0611,"['future garage', 'house', 'pop dance', 'uk dance']",60,4VNQWV2y1E97Eqo2D5UTjx,5Cv9UBYh2VkiCspwh4Wog5
Ready For Your Love,Gorgon City,47,0.677,0.753,121.939,0.154,"['future garage', 'house', 'pop dance', 'uk dance']",60,4VNQWV2y1E97Eqo2D5UTjx,5wGLQvq6JoxYZX7V3ymPS5
Imagination,Gorgon City,52,0.677,0.706,121.994,0.0324,"['future garage', 'house', 'pop dance', 'uk dance']",60,4VNQWV2y1E97Eqo2D5UTjx,2VGTe5PkHOlZuayLYDjtb1
Nobody,Gorgon City,57,0.697,0.664,120.041,0.0275,"['future garage', 'house', 'pop dance', 'uk dance']",60,4VNQWV2y1E97Eqo2D5UTjx,1pJwEPkqfgtmV68vYQ7RyD
House Arrest,Gorgon City,39,0.654,0.818,123.982,0.0332,"['future garage', 'house', 'pop dance', 'uk dance']",60,4VNQWV2y1E97Eqo2D5UTjx,3KJkOfudvW9zxBwjuRBK1G
Lost & Found,Gorgon City,51,0.758,0.601,124.964,0.034,"['future garage', 'house', 'pop dance', 'uk dance']",60,4VNQWV2y1E97Eqo2D5UTjx,4pv3fXGEcTL8wquXrf8sjr
Ferrari,James Hype,83,0.847,0.69,125.004,0.0493,"['deep groove house', 'house', 'pop dance', 'uk dance']",67,43BxCL6t4c73BQnIJtry5v,4zN21mbAuaD0WqtmaTZZeP
Drums (Feat. Kim Petras),James Hype,73,0.803,0.834,128.008,0.0366,"['deep groove house', 'house', 'pop dance', 'uk dance']",67,43BxCL6t4c73BQnIJtry5v,4AFlChQQJbB1MOCgOiiyYc
Lose Control,James Hype,72,0.714,0.936,128.011,0.0426,"['deep groove house', 'house', 'pop dance', 'uk dance']",67,43BxCL6t4c73BQnIJtry5v,3DLWVhaowApIGw1JnJj6GS
You Give Me A Feeling,James Hype,71,0.761,0.867,126.03,0.0499,"['deep groove house', 'house', 'pop dance', 'uk dance']",67,43BxCL6t4c73BQnIJtry5v,2qRKTg13LJGHO4fmQTWT7x
Number 1,James Hype,67,0.707,0.969,129.984,0.0882,"['deep groove house', 'house', 'pop dance', 'uk dance']",67,43BxCL6t4c73BQnIJtry5v,5HadIAY3Oray8VKuv3shgQ
Ferrari - Oliver Heldens Remix,James Hype,66,0.73,0.903,124.957,0.0427,"['deep groove house', 'house', 'pop dance', 'uk dance']",67,43BxCL6t4c73BQnIJtry5v,0oCNRAmwLo4zHDpCKpjQtI
Ferrari - Remix,James Hype,66,0.818,0.728,124.974,0.0724,"['deep groove house', 'house', 'pop dance', 'uk dance']",67,43BxCL6t4c73BQnIJtry5v,3XucsgiwXb8KPn9Csf9Zmu
More Than Friends,James Hype,64,0.81,0.885,122.985,0.108,"['deep groove house', 'house', 'pop dance', 'uk dance']",67,43BxCL6t4c73BQnIJtry5v,53SnCRcGrB2UCqNGyYZhJD
Escape (feat. Hayla),Kaskade,71,0.659,0.798,126.064,0.0749,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'vocal house']",63,6TQj5BFPooTa08A7pk8AQ1,3VpxEo6vMpi4rQ6t2WVVkK
I Remember - John Summit Remix,Kaskade,64,0.531,0.855,126.018,0.0335,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'vocal house']",63,6TQj5BFPooTa08A7pk8AQ1,3zFsJdVCu29em7VUB3Ujqp
Sacrifice,Kaskade,65,0.667,0.956,129.991,0.287,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'vocal house']",63,6TQj5BFPooTa08A7pk8AQ1,76YXmewvHFse7tBeOTtSx3
Escape - John Summit Remix,Kaskade,62,0.631,0.84,125.992,0.0347,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'vocal house']",63,6TQj5BFPooTa08A7pk8AQ1,68lTEhMEx4MxDCJypT6bXE
Alive (feat. The Moth & The Flame),Kaskade,53,0.653,0.886,124.004,0.0685,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'vocal house']",63,6TQj5BFPooTa08A7pk8AQ1,1wbQbpNwQzcrgphXzWcgw7
In the Morning,Kaskade,36,0.711,0.76,122.992,0.0366,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'vocal house']",63,6TQj5BFPooTa08A7pk8AQ1,7v0umDmPFMzmkBT1uWSYIL
Believer - Kaskade Remix,Kaskade,59,0.73,0.634,126.022,0.0509,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'vocal house']",63,6TQj5BFPooTa08A7pk8AQ1,6aiHF2IbJr6lG4Vu9em8KF
On Your Mind,Kaskade,44,0.835,0.834,107.982,0.0884,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'vocal house']",63,6TQj5BFPooTa08A7pk8AQ1,5QoLl71CrQlFgm11D39aX4
The Middle,Zedd,82,0.753,0.657,107.01,0.0449,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",71,2qxJFvFYMEDqd7ui6kSAcq,09IStsImFySgyp0pIQdqAc
Stay,Zedd,79,0.69,0.622,102.04,0.0622,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",71,2qxJFvFYMEDqd7ui6kSAcq,6uBhi9gBXWjanegOb2Phh0
Clarity,Zedd,77,0.509,0.781,128.0,0.072,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",71,2qxJFvFYMEDqd7ui6kSAcq,60wwxj6Dd9NJlirf84wr2c
Lost In Japan - Remix,Zedd,61,0.706,0.855,107.184,0.215,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",71,2qxJFvFYMEDqd7ui6kSAcq,575NJxNUVDqwJGdzBrlLbv
Beautiful Now,Zedd,71,0.628,0.833,128.003,0.0282,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",71,2qxJFvFYMEDqd7ui6kSAcq,2ISSQPb9LHHiV6ng2NXosL
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,66,0.596,0.738,127.961,0.0411,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",71,2qxJFvFYMEDqd7ui6kSAcq,2QtJA4gbwe1AcanB2p21aP
Happy Now,Zedd,70,0.503,0.741,88.335,0.047,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",71,2qxJFvFYMEDqd7ui6kSAcq,4keoy2fqgwGnbWlm3ZVZFa
I Want You To Know,Zedd,68,0.58,0.846,129.998,0.0573,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",71,2qxJFvFYMEDqd7ui6kSAcq,1JDIArrcepzWDTAWXdGYmP
Where You Are,John Summit,78,0.56,0.832,126.0,0.0363,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,4qDpLaFGf5ampf2DXD2TMA
Better Than This,John Summit,70,0.673,0.839,125.03,0.0373,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,5OLSGox6JVpAyEQuoSYRcs
La Danza,John Summit,70,0.797,0.88,125.996,0.0442,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,2FEUloDXMvRnyfLcsrCfkw
I Remember - John Summit Remix,John Summit,64,0.531,0.855,126.018,0.0335,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,3zFsJdVCu29em7VUB3Ujqp
Deep End - SIDEPIECE Remix,John Summit,58,0.763,0.665,126.025,0.0807,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,7JdiXX87BugXUDhQ89GEc8
What A Life (feat. Stevie Appleton),John Summit,68,0.677,0.732,126.018,0.031,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,587xXusqiMW9gSXkNK8Zxf
Make Me Feel,John Summit,65,0.767,0.669,126.013,0.0449,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,0RoGOiZUCQyqAZSPBSk75T
Human (feat. Echoes),John Summit,63,0.544,0.856,125.992,0.0314,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,4G4patpYxsF6ovHZOX9wgR
Where You Are,Hayla,78,0.56,0.832,126.0,0.0363,[],61,4yX6mpMyBGf9UfvBB8JJrc,4qDpLaFGf5ampf2DXD2TMA
I Found You (feat. Hayla),Hayla,60,0.484,0.868,173.769,0.0391,[],61,4yX6mpMyBGf9UfvBB8JJrc,3okzjbfNE8uagng0tHfB02
Where You Are - GRiZ Remix,Hayla,63,0.333,0.79,139.437,0.0492,[],61,4yX6mpMyBGf9UfvBB8JJrc,47kEJq44ZBrRBD4gvdCu0v
Where You Are - Zedd Remix,Hayla,60,0.576,0.614,129.942,0.0406,[],61,4yX6mpMyBGf9UfvBB8JJrc,6hI3PnULFXwkOQSHLHNfOO
Where You Are - Gorgon City Remix,Hayla,54,0.613,0.878,130.041,0.054,[],61,4yX6mpMyBGf9UfvBB8JJrc,6vc0R5eIkOBmqHw2CSDDBw
Lonely Days,Hayla,53,0.792,0.842,126.024,0.0463,[],61,4yX6mpMyBGf9UfvBB8JJrc,3v9iM2rva2zjB3tQaFZFvS
Fall Again,Hayla,48,0.589,0.954,129.983,0.0444,[],61,4yX6mpMyBGf9UfvBB8JJrc,3oOvEw1pgxMtrQMNgPWQHL
I Found You - Grafix Remix,Hayla,47,0.426,0.956,173.967,0.0436,[],61,4yX6mpMyBGf9UfvBB8JJrc,5jeEwlLMObIxZS38IyfGrz
