Artist,Artist Genres,Artist Popularity,Artist uri
Kaskade,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'vocal house']",63,6TQj5BFPooTa08A7pk8AQ1
Korolova,[],49,0I6oCyQQ1Q50q97y9B9gAx
LEVEL UP,[],41,1ZpDxqXS6HAvoZyCzQfKRb
LF SYSTEM,['uk dance'],59,0HxX6imltnNXJyQhu4nsiO
Liquid Stranger,"['brostep', 'downtempo', 'drill and bass', 'filthstep', 'glitch hop']",43,4YJsSCuag8W1TFTgSeEc2k
Loco Dice,"['german techno', 'minimal techno', 'techno']",32,4rbw4Z9Hjn6n9x5oYzZe7P
Loud Luxury,"['edm', 'pop dance']",67,6t1gpxYbY8OlLA7D2RiikQ
Luccio,[],14,01tTf0JDsnCrwcDo7AyXiR
MC Dino,[],2,5hPdACTROoi69yZpLpSVbs
MEDUZA,"['edm', 'pop dance', 'pop house', 'uk dance']",73,0xRXCcSX89eobfrshSVdyu
Maddix,['big room'],63,0RMeG9M8QFzss9bAbq99KA
Majestic,['uk dance'],59,6QMABvTzixnxzsLYyhqRxI
Malaa,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap', 'house']",47,7w1eTNePApzDk8XtgykCPS
Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",86,246dkjvS1zLTtiykXe5h60
Marco Carola,"['italian techno', 'minimal techno', 'techno']",31,2p8O7NCyfWf1sIZamrU9N1
Marlon Craft,['nyc rap'],55,7MigDh04CCntQbsBvugEmb
Matt Sassari,"['french tech house', 'french techno', 'tech house']",63,21dVknSLCsK37cWozWDZZS
Mau P,['tech house'],61,0w1sbtZVQoK6GzV4A4OkCv
Miguelle & Tons,[],27,1U7nDI6jydkqHWaOtUdlkx
Miss Monique,['ukrainian electronic'],50,29TpNOsTNYbLb6Xa10H0PR
Modapit,[],26,6KodO7gtDTYK7uhiu1z1Zb
Nia Archives,['modern jungle'],55,7BMR0fwtEvzGtK4rNGdoiQ
Nitepunk,['dubstep'],40,6iPbI11utXY9CVhX6SPXEg
Noizu,"['bass house', 'house', 'tech house']",56,3VRyybsQu0MDG0F2LBxnv7
Paco Osuna,"['minimal techno', 'spanish techno', 'techno']",30,6vdIozDDsH4uJEAHN8tyS3
Paul van Dyk,"['german techno', 'trance', 'uplifting trance']",53,7wU1naftD3lNq7rNsiDvOR
Pretty Pink,['german house'],44,78GHS9zWXcj8tBke222g5N
Robbie Rivera,"['circuit', 'house', 'tribal house']",39,4bYwbb6k4ujHD2NXRxSwRP
Slugga Tee,['florida drill'],15,42L24ZOTAX3RPfZR3DiEo9
San Holo,"['brostep', 'edm', 'electro house', 'electronic trap', 'future bass', 'pop dance']",55,0jNDKefhfSbLR9sFvcPLHo
San Pacho,['tech house'],50,5jBerZvTAajwYvdxt3UhgU
Sara Benyo,[],28,6jJS6oEAQ78VJ7RhG3KS4M
Seven Lions,"['brostep', 'complextro', 'dubstep', 'edm', 'electro house', 'melodic dubstep', 'pop dance', 'progressive trance']",57,6fcTRFpz0yH79qSKfof7lp
Ship Wrek,['stutter house'],50,1ic0FHNGIjXZAWH6O6Reif
Steve Aoki,"['edm', 'electro house', 'pop dance']",69,77AiFEVeAVj2ORpC85QVJs
SubDocta,"['brostep', 'dubstep', 'filthstep', 'glitch hop']",32,2fRdiG5FNFFs4OjG7p6yxk
Subtronics,['brostep'],59,3NJ94iuAmmMjbszODYT6pO
The Chainsmokers,['pop'],77,69GGBxA162lTqCwzJG5jLp
Thunderpony,[],7,4TifUgz8hmW4eLpADPDeVZ
Tini Gessler,['latin tech house'],28,5k1fr2qbGZrk40njMAyv0x
Todd Terry,"['classic house', 'deep house', 'diva house', 'garage house', 'hip house']",49,3dE92yGWcrboP1kC5SWyqu
Valentino Khan,"['brostep', 'edm', 'electro house', 'electronic trap', 'moombahton']",50,0deIjoDjl9g9Zpw0sCIOHh
Virtual Riot,"['brostep', 'complextro', 'dubstep', 'filthstep', 'gaming dubstep']",48,4FXGRMSHh2JjHxVwS8dhH1
WILLOW,"['afrofuturism', 'pop', 'post-teen pop', 'pov: indie']",68,3rWZHrfrsPBxVy692yAIxF
Wax Motif,"['bass house', 'electro house', 'tech house']",52,7zm3aSdmGiOkTt0aZFSO8R
Westend,"['bass house', 'tech house']",54,4epc3Bd0DOBA0kDywkRAsu
Wilkinson,"['dancefloor dnb', 'drum and bass', 'uk dance']",58,6m8itYST9ADjBIYevXSb1r
Yotto,"['finnish edm', 'progressive house']",55,5Dyfxq0ZrFjjeFBdSNxDbo
Zedd,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",71,2qxJFvFYMEDqd7ui6kSAcq
