Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
Femininomenon,Chappell Roan,67,0.609,0.752,124.995,0.0512,219710,"['Indie Pop', 'Springfield Mo Indie']",67.0,7GlBOeep6PqTfFi59PTUUN,53IRnAWx13PYmoVYtemUBS,https://i.scdn.co/image/ab6761610000f178cde5a0d57c1b79de5fce6bee
Pink Pony Club,Chappell Roan,67,0.615,0.644,106.825,0.0452,258034,"['Indie Pop', 'Springfield Mo Indie']",67.0,7GlBOeep6PqTfFi59PTUUN,1k2pQc5i348DCHwbn5KTdc,https://i.scdn.co/image/ab6761610000f178cde5a0d57c1b79de5fce6bee
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,71,0.8,0.837,100.015,0.0491,225600,"['EDM', 'Electronic Trap', 'Pop', 'Pop Dance']",78.0,540vIaP2JwjQb9dm3aArA4,6IPNp9PfaEqrzotY47TIWy,https://i.scdn.co/image/ab6761610000f1784b6c50f5fdfc89384b19cc68
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,73,0.842,0.801,95.881,0.228,212500,"['EDM', 'Electronic Trap', 'Pop', 'Pop Dance']",78.0,540vIaP2JwjQb9dm3aArA4,0KoiMHhqKLoL4xM54rcWYY,https://i.scdn.co/image/ab6761610000f1784b6c50f5fdfc89384b19cc68
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,74,0.694,0.758,192.091,0.218,185194,"['EDM', 'Electronic Trap', 'Pop', 'Pop Dance']",78.0,540vIaP2JwjQb9dm3aArA4,6osaMSJh9NguagEDQcZaKx,https://i.scdn.co/image/ab6761610000f1784b6c50f5fdfc89384b19cc68
Middle,DJ Snake,77,0.583,0.695,104.879,0.0423,220573,"['EDM', 'Electronic Trap', 'Pop', 'Pop Dance']",78.0,540vIaP2JwjQb9dm3aArA4,0g5EKLgdKvNlln7TNqBByK,https://i.scdn.co/image/ab6761610000f1784b6c50f5fdfc89384b19cc68
U Are My High (with Future),DJ Snake,77,0.602,0.824,125.147,0.0547,211200,"['EDM', 'Electronic Trap', 'Pop', 'Pop Dance']",78.0,540vIaP2JwjQb9dm3aArA4,0ITaSRuI0L1RNL7ZNYTTi7,https://i.scdn.co/image/ab6761610000f1784b6c50f5fdfc89384b19cc68
You Know You Like It,DJ Snake,72,0.407,0.725,196.093,0.188,247266,"['EDM', 'Electronic Trap', 'Pop', 'Pop Dance']",78.0,540vIaP2JwjQb9dm3aArA4,57kR5SniQIbsbVoIjjOUDa,https://i.scdn.co/image/ab6761610000f1784b6c50f5fdfc89384b19cc68
Lean On,DJ Snake,78,0.723,0.809,98.007,0.0625,176561,"['EDM', 'Electronic Trap', 'Pop', 'Pop Dance']",78.0,540vIaP2JwjQb9dm3aArA4,01aTsQoKoeXofSTvKuunzv,https://i.scdn.co/image/ab6761610000f1784b6c50f5fdfc89384b19cc68
Turn Down for What,DJ Snake,73,0.818,0.799,100.014,0.156,213733,"['EDM', 'Electronic Trap', 'Pop', 'Pop Dance']",78.0,540vIaP2JwjQb9dm3aArA4,67awxiNHNyjMXhVgsHuIrs,https://i.scdn.co/image/ab6761610000f1784b6c50f5fdfc89384b19cc68
Kiss Me More (feat. SZA),Doja Cat,81,0.764,0.705,110.97,0.0284,208666,"['Dance Pop', 'Pop']",87.0,5cj0lLjcoR7YOSnhnX0Po5,3DarAbFujv6eYNliUTyqtz,https://i.scdn.co/image/ab6761610000f1787f6d6cac38d494e87692af99
Agora Hills,Doja Cat,83,0.755,0.687,123.01,0.101,265360,"['Dance Pop', 'Pop']",87.0,5cj0lLjcoR7YOSnhnX0Po5,5PyDJG7SQRgWXefgexqIge,https://i.scdn.co/image/ab6761610000f1787f6d6cac38d494e87692af99
Candy,Doja Cat,79,0.689,0.516,124.876,0.0444,190920,"['Dance Pop', 'Pop']",87.0,5cj0lLjcoR7YOSnhnX0Po5,1VJwtWR6z7SpZRwipI12be,https://i.scdn.co/image/ab6761610000f1787f6d6cac38d494e87692af99
I Like You (A Happier Song) (with Doja Cat),Doja Cat,82,0.733,0.67,100.964,0.0751,192840,"['Dance Pop', 'Pop']",87.0,5cj0lLjcoR7YOSnhnX0Po5,0O6u0VJ46W86TxN9wgyqDj,https://i.scdn.co/image/ab6761610000f1787f6d6cac38d494e87692af99
