Artist,Artist Genres,Artist Popularity,Artist uri,Artist Image url
Deorro,"['Dutch House', 'EDM', 'Electro House', 'Melbourne Bounce', 'Melbourne Bounce International', 'Pop Dance', 'Progressive Electro House']",64,6VD4UEUPvtsemqD3mmTqCR,https://i.scdn.co/image/ab6761610000f1786927317407c8e2499d0cd39f
Dillon Francis,"['Brostep', 'EDM', 'Electro House', 'Moombahton', 'Pop Dance', 'Progressive Electro House', 'Slap House']",61,5R3Hr2cnCCjt220Jmt2xLf,https://i.scdn.co/image/ab6761610000f178c61c75f2f76dbcd5f49a3e8c
Dirt Monkey,"['Brostep', 'Dubstep', 'Filthstep']",40,5dNqUwGTZcQQ09ecTKkCGH,https://i.scdn.co/image/ab6761610000f178362289b6e7b8e25735b4fc8a
Disco Lines,['Stutter House'],60,5Kmr0b3ip8g9P2i0dLTC3Z,https://i.scdn.co/image/ab6761610000f178c722246288d2b5209711d712
Discovery Singers,"['Christian A Cappella', 'Sda A Cappella']",25,4XUltzTgP8sMvgKTOyjceo,https://i.scdn.co/image/ab67616d00004851072baa16109183d0adccffb9
Dom Dolla,"['Australian House', 'Deep Groove House', 'House']",67,205i7E8fNVfojowcQSfK9m,https://i.scdn.co/image/ab6761610000f178284b0239328d2d0b9abbb437
Dombresky,"['Bass House', 'Electro House', 'House', 'Tech House']",50,2GVtgxcx7jg5xVCZsIHSGN,https://i.scdn.co/image/ab6761610000f17899d30c16a0be49121aa0875b
Dreamstate,[],26,4ahwO1RsHUkwEJawRahaLj,https://i.scdn.co/image/ab6761610000f17854cfbd5a6096f6945f60ddc1
Eats Everything,"['Deep Disco House', 'House', 'Raw Techno']",41,4W991QdgKWX4TO864ypInA,https://i.scdn.co/image/ab6761610000f17856053d283450f5ef9196f9bd
Edgar Vargas,[],17,3IwU7rdLcGw0DY1MATanr0,https://i.scdn.co/image/ab67616d0000485186766b86124a904ea8123443
Eli Brown,"['House', 'Tech House', 'UK Dance']",59,5lVNSw2GPci8kebrAQpZqU,https://i.scdn.co/image/ab6761610000f1780f9b9210b2276c1268ece518
Excision,"['Brostep', 'Canadian Electronic', 'Filthstep']",59,5FKchcZpQOkqFvXBj1aCvb,https://i.scdn.co/image/ab6761610000f17811d1a065d36d1577fbe82ffa
