Artist,Artist Genres,Artist Popularity,Artist uri,Artist Image url
John Summit,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",85,1Cs0zKBU1kc0i8ypK3B9ai,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
